Return Day,BoW+SVM(rbf)_in,BoW+SVM(rbf)_out,Tfidf+SVM(rbf)_in,Tfidf+SVM(rbf)_out,BoW+LinearSVC_in,BoW+LinearSVC_out,Tfidf+LinearSVC_in,Tfidf+LinearSVC_out,BoW+Naïve Bayes_in,BoW+Naïve Bayes_out,Tfidf+Naïve Bayes_in,Tfidf+Naïve Bayes_out
1,0.5164,0.3569,0.3753,0.3047,0.4716,0.3549,0.6245,0.3549,0.7201,0.3371,0.5344,0.3355
2,0.5588,0.3593,0.3574,0.3162,0.4353,0.3653,0.6993,0.3487,0.7174,0.3386,0.6423,0.3333
3,0.5144,0.3435,0.4107,0.3173,0.4705,0.3545,0.6144,0.3465,0.7172,0.3366,0.6333,0.3311
4,0.5125,0.3523,0.3838,0.2913,0.5949,0.3551,0.6998,0.3474,0.7244,0.3366,0.6302,0.3287
5,0.5176,0.3512,0.354,0.3082,0.595,0.3586,0.7045,0.3461,0.7262,0.3355,0.6506,0.3355
